Title,Year,Duration,Genre,Director,Rating,Revenue
A Shaun the Sheep Movie: Farmageddon,2020,86,"Animation,Adventure,Comedy",Will Becher,6.8,43.1
A Star is Born,2018,136,"Drama,Music,Romance",Bradley Cooper,7.6,215.3
Assassin's Creed,2016,115,"Action,Adventure,Drama",Justin Kurzel,5.9,54.7
Avengers: Age of Ultron,2015,141,"Action,Adventure,Sci-Fi",Joss Whedon,7.4,459
Avengers: Endgame,2019,181,"Action,Adventure,Drama",Anthony Russo,8.4,858.4
Batman v Superman: Dawn of Justice,2016,151,"Action,Adventure,Sci-Fi",Zack Snyder,6.7,330.3
Black Panther,2018,134,"Action,Adventure,Sci-Fi",Ryan Coogler,7.3,700.4
Captain America: Civil War,2016,147,"Action,Adventure,Sci-Fi",Anthony Russo,7.9,408.1
Captain Fantastic,2016,118,"Comedy,Drama",Matt Ross,7.9,5.9
Doctor Strange,2016,115,"Action,Adventure,Fantasy",Scott Derrickson,7.6,232.6
Fantastic Beasts and Where to Find Them,2016,133,"Adventure,Family,Fantasy",David Yates,7.5,234
Get Out,2017,104,"Horror,Mystery,Thriller",Jordan Peele,7.7,176.2
Ghostbusters,2016,116,"Action,Comedy,Fantasy",Paul Feig,5.3,128.3
Guardians of the Galaxy,2014,121,"Action,Adventure,Sci-Fi",James Gunn,8.1,333.1
Inception,2010,148,"Action,Adventure,Sci-Fi",Christopher Nolan,8.8,292.6
Interstellar,2014,169,"Adventure,Drama,Sci-Fi",Christopher Nolan,8.6,188
Jason Bourne,2016,123,"Action,Thriller",Paul Greengrass,6.7,162.2
John Wick,2014,101,"Action,Crime,Thriller",Chad Stahelski,7.2,43
Jurassic World,2015,124,"Action,Adventure,Sci-Fi",Colin Trevorrow,7,652.2
Kingsman: The Secret Service,2014,129,"Action,Adventure,Comedy",Matthew Vaughn,7.7,128.3
Knives Out,2019,130,"Comedy,Crime,Drama",Rian Johnson,7.9,165.4
La La Land,2016,128,"Comedy,Drama,Music",Damien Chazelle,8.3,151.1
Lady Bird,2017,94,"Comedy,Drama",Greta Gerwig,7.4,49
Lion,2016,118,"Biography,Drama",Garth Davis,8.1,51.7
Logan,2017,137,"Action,Drama,Sci-Fi",James Mangold,8.1,226.2
Lowriders,2016,99,Drama,Ricardo de Montreuil,6.3,4.2
Mad Max: Fury Road,2015,120,"Action,Adventure,Sci-Fi",George Miller,8.1,153.6
Mission: Impossible - Fallout,2018,147,"Action,Adventure,Thriller",Christopher McQuarrie,7.7,220.2
Moana,2016,107,"Animation,Adventure,Comedy",Ron Clements,7.7,248.8
Moonlight,2016,111,Drama,Barry Jenkins,7.5,27.9
Nocturnal Animals,2016,116,"Drama,Thriller",Tom Ford,7.5,10.6
Parasite (Gisaengchung),2019,132,"Comedy,Drama,Thriller",Bong Joon Ho,8.5,53.4
Patriots Day,2016,133,"Drama,History,Thriller",Peter Berg,7.4,31.9
Pirates of the Caribbean: On Stranger Tides,2011,136,"Action,Adventure,Fantasy",Rob Marshall,6.7,241.1
Portrait of a Lady on Fire,2020,122,"Drama,Romance",Celine Sciamma,8.1,3.8
Raya and the Last Dragon,2021,107,"Animation,Action,Adventure",Don Hall,7.3,54.7
Resident Evil: The Final Chapter,2016,107,"Action,Horror,Sci-Fi",Paul W.S. Anderson,5.6,26.8
Rocketman,2019,121,"Biography,Drama,Musical",Dexter Fletcher,7.3,96.4
Rogue One,2016,133,"Action,Adventure,Sci-Fi",Gareth Edwards,7.9,532.2
Roma,2018,135,Drama,Alfonso Cuaron,7.7,1.1
Spider-Man: Into the Spider-Verse,2018,117,"Animation,Adventure,Comedy",Bob Persichetti,8.4,190.2
Spider-Man: No Way Home,2021,148,"Action,Adventure,Fantasy",Jon Watts,8.6,793.9
Star Trek Beyond,2016,122,"Action,Adventure,Sci-Fi",Justin Lin,7.1,158.8
Star Wars: Episode VII - The Force Awakens,2015,136,"Action,Adventure,Fantasy",J.J. Abrams,8.1,936.6
Star Wars: The Last Jedi,2017,152,"Action,Adventure,Fantasy",Rian Johnson,6.9,620.2
The Avengers,2012,143,"Action,Sci-Fi",Joss Whedon,8.1,623.3
The Green Knight,2021,130,"Adventure,Drama,Fantasy",David Lowery,6.6,17.2
The Irishman,2019,209,"Biography,Crime,Drama",Martin Scorsese,7.8,968.9
The Magnificent Seven,2016,132,"Action,Adventure,Western",Antoine Fuqua,6.9,93.4
The Wolf of Wall Street,2013,180,"Biography,Comedy,Crime",Martin Scorsese,8.2,116.9
Thor,2011,115,"Action,Adventure,Fantasy",Kenneth Branagh,7,181
Toy Story 4,2019,100,"Animation,Adventure,Comedy",Josh Cooley,7.7,434
Trolls,2016,92,"Animation,Adventure,Comedy",Walt Dohrn,6.5,153.7
West Side Story,2021,156,"Crime,Drama,Musical",Steven Spielberg,7.4,38.4
Wonder Woman,2017,141,"Action,Adventure,Fantasy",Patty Jenkins,7.4,412.8
X-Men: Apocalypse,2016,144,"Action,Adventure,Sci-Fi",Bryan Singer,7.1,155.3
Zootopia,2016,108,"Animation,Adventure,Comedy",Byron Howard,8.1,341.3
